Unnamed: 0_level_0,Unnamed: 1_level_0,Projections & Ratings,Projections & Ratings,Projections & Ratings,Projections & Ratings,Unnamed: 6_level_0,Over Hit Rates,Over Hit Rates,Over Hit Rates,Over Hit Rates,Unnamed: 11_level_0,Unnamed: 12_level_0
Player,Prop,Proj.,Proj. DiffClick to sort table rowsClick to sort table rows,RatingClick to sort table rowsClick to sort table rows,EVClick to sort table rowsClick to sort table rows,Opp vs Prop Click to sort table rowsClick to sort table rows,L-5Click to sort table rowsClick to sort table rows,L-15Click to sort table rowsClick to sort table rows,SeasonClick to sort table rowsClick to sort table rows,H2HClick to sort table rowsClick to sort table rows,Pick,Analyze
Nikola JokicC- OKC @ DEN,51.5Pts + Ast + Reb,57.5Over,6.0,5 out of 5 stars,+26%,6th,40%,27%,49%,-,O 51.5(-137),Click to view the prop analyzer for this player and market
Jalen WilliamsG- OKC @ DEN,30.5Pts + Ast + Reb,36.4Over,5.9,,,20th,40%,,,,O 30.5(-137),Click to view the prop analyzer for this player and market
Jalen WilliamsG- OKC @ DEN,25.5Pts + Ast,30.7Over,5.2,,,24th,20%,,,,O 25.5(-118),Click to view the prop analyzer for this player and market
Chet HolmgrenF- OKC @ DEN,25.5Pts + Ast + Reb,30.7Over,5.2,,,20th,40%,,,,O 25.5(-137),Click to view the prop analyzer for this player and market
Christian BraunG- OKC @ DEN,14.5Pts + Ast,19.6Over,5.1,,,3rd,20%,,,,O 14.5(-115),Click to view the prop analyzer for this player and market
Nikola JokicC- OKC @ DEN,37.5Pts + Ast,42.5Over,5.0,,,3rd,40%,,,,O 37.5(-113),Click to view the prop analyzer for this player and market
Jalen WilliamsG- OKC @ DEN,25.5Pts + Reb,30.2Over,4.7,,,17th,40%,,,,O 25.5(-115),Click to view the prop analyzer for this player and market
Christian BraunG- OKC @ DEN,21Pts + Ast + Reb,25.7Over,4.7,,,6th,40%,,,,O 21.0(-137),Click to view the prop analyzer for this player and market
Chet HolmgrenF- OKC @ DEN,23.5Pts + Reb,28.0Over,4.5,,,17th,40%,,,,O 23.5(-121),Click to view the prop analyzer for this player and market
Christian BraunG- OKC @ DEN,12.5Pts,16.8Over,4.3,,,3rd,20%,,,,O 12.5(-137),Click to view the prop analyzer for this player and market
Jalen WilliamsG- OKC @ DEN,20.5Pts,24.5Over,4.0,,,22nd,20%,,,,O 20.5(-121),Click to view the prop analyzer for this player and market
Nikola JokicC- OKC @ DEN,43Pts + Reb,46.9Over,3.9,,,6th,40%,,,,O 43.0(-137),Click to view the prop analyzer for this player and market
Jamal MurrayG- OKC @ DEN,29.5Pts + Ast + Reb,33.3Over,3.8,,,6th,60%,,,,O 29.5(-137),Click to view the prop analyzer for this player and market
Isaiah HartensteinC- OKC @ DEN,14Pts + Ast,17.6Over,3.6,,,24th,60%,,,,O 14.0(-137),Click to view the prop analyzer for this player and market
Nikola JokicC- OKC @ DEN,28.5Pts,31.9Over,3.4,,,3rd,40%,,,,O 28.5(-121),Click to view the prop analyzer for this player and market
Jamal MurrayG- OKC @ DEN,25.5Pts + Ast,28.8Over,3.3,,,3rd,60%,,,,O 25.5(-137),Click to view the prop analyzer for this player and market
Jamal MurrayG- OKC @ DEN,19.5Pts,22.6Over,3.1,,,3rd,60%,,,,O 19.5(-113),Click to view the prop analyzer for this player and market
Nikola JokicC- OKC @ DEN,22.5Reb + Ast,25.6Over,3.1,,,10th,20%,,,,O 22.5(-129),Click to view the prop analyzer for this player and market
Jamal MurrayG- OKC @ DEN,24.5Pts + Reb,27.1Over,2.6,,,6th,60%,,,,O 24.5(-109),Click to view the prop analyzer for this player and market
Jalen WilliamsG- OKC @ DEN,9.5Reb + Ast,11.9Over,2.4,,,19th,60%,,,,O 9.5(-120),Click to view the prop analyzer for this player and market
Aaron GordonF- OKC @ DEN,19.5Pts + Ast,21.7Over,2.2,,,3rd,60%,,,,O 19.5(-115),Click to view the prop analyzer for this player and market
Aaron GordonF- OKC @ DEN,26.5Pts + Ast + Reb,28.7Over,2.2,,,6th,60%,,,,O 26.5(-137),Click to view the prop analyzer for this player and market
Nikola JokicC- OKC @ DEN,8.5Ast,10.6Over,2.1,,,4th,0%,,,,O 8.5(-137),Click to view the prop analyzer for this player and market
Isaiah HartensteinC- OKC @ DEN,9.5Reb,11.6Over,2.1,,,8th,40%,,,,O 9.5(-110),Click to view the prop analyzer for this player and market
Cason WallaceG- OKC @ DEN,8.5Pts + Ast + Reb,10.6Over,2.1,,,20th,40%,,,,O 8.5(-137),Click to view the prop analyzer for this player and market
Isaiah HartensteinC- OKC @ DEN,11Pts,13.0Over,2.0,,,22nd,60%,,,,O 11.0(-137),Click to view the prop analyzer for this player and market
Cason WallaceG- OKC @ DEN,4.5Pts,6.3Over,1.8,,,22nd,40%,,,,O 4.5(-137),Click to view the prop analyzer for this player and market
Cason WallaceG- OKC @ DEN,6.5Pts + Ast,8.3Over,1.8,,,24th,40%,,,,O 6.5(-137),Click to view the prop analyzer for this player and market
Russell Westbrook IIIG- OKC @ DEN,18Pts + Ast + Reb,19.8Over,1.8,,,6th,40%,,,,O 18.0(-137),Click to view the prop analyzer for this player and market
Michael Porter Jr.F- OKC @ DEN,5.5Reb,7.2Over,1.7,,,23rd,40%,,,,O 5.5(-137),Click to view the prop analyzer for this player and market
Shai Gilgeous-AlexanderG- OKC @ DEN,36Pts + Reb,37.6Over,1.6,,,17th,60%,,,,O 36.0(-137),Click to view the prop analyzer for this player and market
Russell Westbrook IIIG- OKC @ DEN,7.5Reb + Ast,9.1Over,1.6,,,10th,0%,,,,O 7.5(-137),Click to view the prop analyzer for this player and market
Shai Gilgeous-AlexanderG- OKC @ DEN,43.5Pts + Ast + Reb,45.1Over,1.6,,,20th,60%,,,,O 43.5(-137),Click to view the prop analyzer for this player and market
