Unnamed: 0_level_0,Unnamed: 1_level_0,Projections & Ratings,Projections & Ratings,Projections & Ratings,Projections & Ratings,Unnamed: 6_level_0,Over Hit Rates,Over Hit Rates,Over Hit Rates,Over Hit Rates,Unnamed: 11_level_0,Unnamed: 12_level_0
Player,Prop,Proj.,Proj. DiffClick to sort table rowsClick to sort table rows,RatingClick to sort table rowsClick to sort table rows,EVClick to sort table rowsClick to sort table rows,Opp vs Prop Click to sort table rowsClick to sort table rows,L-5Click to sort table rowsClick to sort table rows,L-15Click to sort table rowsClick to sort table rows,SeasonClick to sort table rowsClick to sort table rows,H2HClick to sort table rowsClick to sort table rows,Pick,Analyze
Donte DiVincenzoG- GSW @ MIN,18.5Pts + Ast + Reb,22.5Over,4.0,5 out of 5 stars,+24%,8th,20%,33%,49%,-,O 18.5(-137),Click to view the prop analyzer for this player and market
Donte DiVincenzoG- GSW @ MIN,14.5Pts + Reb,18.4Over,3.9,,,8th,20%,,,,O 14.5(-110),Click to view the prop analyzer for this player and market
Donte DiVincenzoG- GSW @ MIN,14.5Pts + Ast,18.0Over,3.5,,,7th,0%,,,,O 14.5(-121),Click to view the prop analyzer for this player and market
Donte DiVincenzoG- GSW @ MIN,10.5Pts,13.9Over,3.4,,,7th,0%,,,,O 10.5(-124),Click to view the prop analyzer for this player and market
Anthony EdwardsG- GSW @ MIN,27.5Pts,30.7Over,3.2,,,7th,40%,,,,O 27.5(-115),Click to view the prop analyzer for this player and market
Anthony EdwardsG- GSW @ MIN,32.5Pts + Ast,35.7Over,3.2,,,7th,40%,,,,O 32.5(-127),Click to view the prop analyzer for this player and market
Anthony EdwardsG- GSW @ MIN,34.5Pts + Reb,37.3Over,2.8,,,8th,60%,,,,O 34.5(-118),Click to view the prop analyzer for this player and market
Draymond GreenF- GSW @ MIN,21Pts + Ast + Reb,23.6Over,2.6,,,5th,40%,,,,O 21.0(-137),Click to view the prop analyzer for this player and market
Jaden McDanielsF- GSW @ MIN,20Pts + Ast + Reb,22.6Over,2.6,,,8th,40%,,,,O 20.0(-137),Click to view the prop analyzer for this player and market
Mike ConleyG- GSW @ MIN,9.5Pts + Ast,11.9Over,2.4,,,7th,40%,,,,O 9.5(-118),Click to view the prop analyzer for this player and market
Jaden McDanielsF- GSW @ MIN,18Pts + Reb,20.4Over,2.4,,,8th,40%,,,,O 18.0(-137),Click to view the prop analyzer for this player and market
Mike ConleyG- GSW @ MIN,12Pts + Ast + Reb,14.4Over,2.4,,,8th,40%,,,,O 12.0(-137),Click to view the prop analyzer for this player and market
Jimmy Butler IIIF- GSW @ MIN,38Pts + Ast + Reb,35.7Under,-2.3,,,5th,60%,,,,U 38.0(-137),Click to view the prop analyzer for this player and market
Anthony EdwardsG- GSW @ MIN,40Pts + Ast + Reb,42.3Over,2.3,,,8th,40%,,,,O 40.0(-137),Click to view the prop analyzer for this player and market
Rudy GobertC- GSW @ MIN,10.5Pts + Ast,12.7Over,2.2,,,7th,20%,,,,O 10.5(-118),Click to view the prop analyzer for this player and market
Nickeil Alexander-WalkerG- GSW @ MIN,5.5Pts + Ast,7.7Over,2.2,,,7th,40%,,,,O 5.5(-137),Click to view the prop analyzer for this player and market
Jimmy Butler IIIF- GSW @ MIN,31.5Pts + Reb,29.3Under,-2.2,,,5th,60%,,,,U 31.5(-110),Click to view the prop analyzer for this player and market
Buddy HieldG- GSW @ MIN,19Pts + Reb,21.1Over,2.1,,,5th,60%,,,,O 19.0(-137),Click to view the prop analyzer for this player and market
Brandin PodziemskiG- GSW @ MIN,22Pts + Ast + Reb,24.1Over,2.1,,,5th,20%,,,,O 22.0(-137),Click to view the prop analyzer for this player and market
Draymond GreenF- GSW @ MIN,14.5Pts + Ast,16.5Over,2.0,,,5th,60%,,,,O 14.5(-125),Click to view the prop analyzer for this player and market
Quinten PostC- GSW @ MIN,7.5Pts + Ast,5.5Under,-2.0,,,5th,20%,,,,U 7.5(-112),Click to view the prop analyzer for this player and market
Naz ReidC- GSW @ MIN,19.5Pts + Ast + Reb,21.5Over,2.0,,,8th,20%,,,,O 19.5(-137),Click to view the prop analyzer for this player and market
Draymond GreenF- GSW @ MIN,11.5Reb + Ast,13.4Over,1.9,,,7th,40%,,,,O 11.5(-109),Click to view the prop analyzer for this player and market
Jaden McDanielsF- GSW @ MIN,7Reb + Ast,8.9Over,1.9,,,11th,20%,,,,O 7.0(-137),Click to view the prop analyzer for this player and market
Brandin PodziemskiG- GSW @ MIN,8.5Reb + Ast,10.4Over,1.9,,,7th,60%,,,,O 8.5(-127),Click to view the prop analyzer for this player and market
Buddy HieldG- GSW @ MIN,21.5Pts + Ast + Reb,23.4Over,1.9,,,5th,60%,,,,O 21.5(-137),Click to view the prop analyzer for this player and market
Draymond GreenF- GSW @ MIN,4.5Ast,6.3Over,1.8,,,6th,60%,,,,O 4.5(-117),Click to view the prop analyzer for this player and market
Buddy HieldG- GSW @ MIN,14.5Pts,16.3Over,1.8,,,5th,60%,,,,O 14.5(-115),Click to view the prop analyzer for this player and market
Quinten PostC- GSW @ MIN,6.5Pts,4.7Under,-1.8,,,5th,20%,,,,U 6.5(-127),Click to view the prop analyzer for this player and market
Draymond GreenF- GSW @ MIN,15.5Pts + Reb,17.3Over,1.8,,,5th,40%,,,,O 15.5(-118),Click to view the prop analyzer for this player and market
Mike ConleyG- GSW @ MIN,6Pts,7.7Over,1.7,,,7th,40%,,,,O 6.0(-137),Click to view the prop analyzer for this player and market
