Player name,Position,Game,Prop_line,Prop_type,Projection_BP,Projection_UO_BP,Proj_BP_Diff,EV,OPP vs Prop,L-5,L-15,season,H2H,Odds
Austin Reaves,G,LAL @ MIN,21.5,Pts + Ast,27.8,Over,6.3,+37%,6th,40%,67%,65%,-,-121
Austin Reaves,G,LAL @ MIN,27.0,Pts + Ast + Reb,32.8,Over,5.8,,6th,40%,,,,-137
LeBron James,F,LAL @ MIN,37.5,Pts + Ast + Reb,42.5,Over,5.0,,6th,40%,,,,-137
Jaylen Brown,G,BOS @ ORL,19.0,Pts,23.9,Over,4.9,,1st,40%,,,,-137
Jaylen Brown,G,BOS @ ORL,25.5,Pts + Reb,30.3,Over,4.8,,1st,40%,,,,-115
LeBron James,F,LAL @ MIN,29.5,Pts + Ast,34.2,Over,4.7,,6th,40%,,,,-110
Austin Reaves,G,LAL @ MIN,22.5,Pts + Reb,26.7,Over,4.2,,5th,40%,,,,-115
Payton Pritchard,G,BOS @ ORL,14.5,Pts + Reb,18.6,Over,4.1,,1st,100%,,,,-113
Payton Pritchard,G,BOS @ ORL,14.0,Pts + Ast,17.9,Over,3.9,,1st,80%,,,,-137
Obi Toppin,F,IND @ MIL,8.5,Pts + Ast,12.4,Over,3.9,,14th,20%,,,,-137
Obi Toppin,F,IND @ MIL,11.0,Pts + Reb,14.9,Over,3.9,,16th,20%,,,,-137
Payton Pritchard,G,BOS @ ORL,18.0,Pts + Ast + Reb,21.9,Over,3.9,,1st,80%,,,,-137
Dorian Finney-Smith,F,LAL @ MIN,11.5,Pts + Ast + Reb,15.4,Over,3.9,,6th,80%,,,,-137
Kristaps Porzingis,F,BOS @ ORL,18.5,Pts + Ast,22.3,Over,3.8,,1st,40%,,,,-118
Nickeil Alexander-Walker,G,LAL @ MIN,9.5,Pts + Reb,13.3,Over,3.8,,10th,60%,,,,-125
Nickeil Alexander-Walker,G,LAL @ MIN,12.5,Pts + Ast + Reb,16.3,Over,3.8,,12th,60%,,,,-137
Austin Reaves,G,LAL @ MIN,18.0,Pts,21.7,Over,3.7,,5th,40%,,,,-137
Kristaps Porzingis,F,BOS @ ORL,26.0,Pts + Ast + Reb,29.7,Over,3.7,,1st,40%,,,,-137
Payton Pritchard,G,BOS @ ORL,11.0,Pts,14.6,Over,3.6,,1st,100%,,,,-137
Kyle Kuzma,F,IND @ MIL,11.0,Pts,14.5,Over,3.5,,17th,60%,,,,-137
Kevin Porter Jr.,G,IND @ MIL,7.0,Pts,10.4,Over,3.4,,17th,100%,,,,-137
Nickeil Alexander-Walker,G,LAL @ MIN,9.5,Pts + Ast,12.9,Over,3.4,,12th,80%,,,,-113
Obi Toppin,F,IND @ MIL,7.5,Pts,10.7,Over,3.2,,13th,20%,,,,-114
Kristaps Porzingis,F,BOS @ ORL,24.5,Pts + Reb,27.7,Over,3.2,,1st,40%,,,,-107
Damian Lillard,G,IND @ MIL,33.5,Pts + Ast + Reb,36.7,Over,3.2,,17th,40%,,,,-137
Julius Randle,F,LAL @ MIN,22.5,Pts + Ast,25.6,Over,3.1,,12th,60%,,,,-121
Damian Lillard,G,IND @ MIL,26.5,Pts + Reb,29.6,Over,3.1,,19th,40%,,,,-115
Obi Toppin,F,IND @ MIL,13.5,Pts + Ast + Reb,16.6,Over,3.1,,16th,20%,,,,-137
Dorian Finney-Smith,F,LAL @ MIN,6.5,Pts,9.5,Over,3.0,,5th,60%,,,,-110
T.J. McConnell,G,IND @ MIL,10.5,Pts + Ast,13.5,Over,3.0,,14th,40%,,,,-121
T.J. McConnell,G,IND @ MIL,13.0,Pts + Ast + Reb,16.0,Over,3.0,,16th,80%,,,,-137
Jarace Walker,F,IND @ MIL,6.5,Pts + Ast + Reb,9.5,Over,3.0,,16th,100%,,,,-137
Nickeil Alexander-Walker,G,LAL @ MIN,7.0,Pts,9.9,Over,2.9,,10th,80%,,,,-137
Gary Trent Jr.,G,IND @ MIL,11.5,Pts + Reb,14.4,Over,2.9,,19th,40%,,,,-110
